Alloy Name,Density,Young's Modulus,Yield Strength,Tensile Strength,Fatigue Strength,Specific Heat,Coefficient of Thermal Expansion,Metal Chemical Notations
EOS Titanium Ti64 Flexline DMSL on EOS M 100,"{'metric_value': '4.40', 'metric_unit': 'g/cc', 'comment': 'ISO 3369'}",,"{'metric_value': '956', 'metric_unit': 'MPa', 'comment': 'Vertical, Heat treated; ISO 6892'}","{'metric_value': '1065', 'metric_unit': 'MPa', 'comment': 'Vertical, Heat treated; ISO 6892'}",,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '87.6 - 91 %', '87.6 - 91 %', 'Balance'], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], [''], [], ['Surface roughness', '4 µm', 'Ra, after shot-peening'], ['Volume rate', '1.68 mm³/s', '']]"
Titanium Ti-10V-2Fe-3Al (Ti 10-2-3) ST 730°C; overage 580°C,"{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '102', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '940', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '980', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '890', 'metric_unit': 'MPa', 'comment': 'unnotched'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '9.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '425 °C'}]","[['Aluminum, Al', '2.6 - 3.4 %', '2.6 - 3.4 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '1.6 - 2.2 %', '1.6 - 2.2 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.13 %', '<= 0.13 %', ''], ['Titanium, Ti', '82.855 - 86.8 %', '82.855 - 86.8 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '9.0 - 11 %', '9.0 - 11 %', ''], [''], [], ['Crystal Structure', 'bcc', 'Beta, predominant'], ['', 'cph', 'Alpha']]"
"Titanium Beta-CEZ ST 830°C (1525°F), Aged 600°C","{'metric_value': '4.69', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '122', 'metric_unit': 'GPa', 'comment': 'Unaged'}","{'metric_value': '1210', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1280', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '875', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '0.508', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '5.0 %', '5.0 %', ''], ['Chromium, Cr', '2.0 %', '2.0 %', ''], ['Iron, Fe', '1.0 %', '1.0 %', ''], ['Molybdenum, Mo', '4.0 %', '4.0 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '82 %', '82 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
"Titanium Transage 134, Duplex Heat Treat 815/525°C (1500/980°F)","{'metric_value': '4.73', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': 'Typical Value for STA beta titanium alloy.'}","{'metric_value': '1140', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1200', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '220', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 2.0'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.5 %', '2.5 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '77.5 %', '77.5 %', ''], ['Vanadium, V', '12 %', '12 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '6.0 %', '6.0 %', '']]"
Universal Wire Works 8Al-1Mo-1V (AMS 4955) Titanium Alloy Filler Metal,,,,,,,,"[['Aluminum, Al', '8.0 %', '8.0 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.010 %', '<= 0.010 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '1.0 %', '1.0 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '>= 89.04 %', '>= 89.04 %', 'As Remainder'], ['Vanadium, V', '1.0 %', '1.0 %', '']]"
"Titanium Transage 129, Triplex Heat Treat 760/650/425°C","{'metric_value': '4.82', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '108', 'metric_unit': 'GPa', 'comment': 'After Duplex Heat Treat 815/540ºC'}","{'metric_value': '1280', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1390', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '400', 'metric_unit': 'MPa', 'comment': 'Kt(stress concentration factor) = 2.7'}","{'metric_value': '0.525', 'metric_unit': 'J/g-°C', 'comment': 'Typical value for titanium alloys.'}","[{'value': '8.50 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '2.0 %', '2.0 %', ''], ['Boron, B', '<= 0.030 %', '<= 0.030 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.15 %', '<= 0.15 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '73.5 %', '73.5 %', ''], ['Vanadium, V', '11.5 %', '11.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', ''], ['Zirconium, Zr', '11 %', '11 %', '']]"
Titanium Ti-8Al-1Mo-1V (Ti-8-1-1) Duplex Anneal,"{'metric_value': '4.37', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '124', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '83', 'metric_unit': '0', 'comment': ''}","{'metric_value': '90', 'metric_unit': '0', 'comment': ''}","{'metric_value': '620', 'metric_unit': 'MPa', 'comment': 'unnotched'}","{'metric_value': '0.502', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '7.35 - 8.35 %', '7.35 - 8.35 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Molybdenum, Mo', '0.75 - 1.25 %', '0.75 - 1.25 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '88.185 - 91.15 %', '88.185 - 91.15 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '0.75 - 1.25 %', '0.75 - 1.25 %', '']]"
Titanium Ti-15Mo-5Zr-3Al Solution Treated 785°C,"{'metric_value': '5.01', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'Sample was ST 790ºC, Aged 510ºC'}",,"{'metric_value': '980', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Titanium, Ti', '77 %', '77 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
"ATI Wah Chang 425™ Titanium Alloy, Annealed Bar 0.5 - 1.23 in. dia","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '862', 'metric_unit': 'MPa', 'comment': 'Long.'}","{'metric_value': '1010', 'metric_unit': 'MPa', 'comment': 'Long.'}",,,,"[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Iron, Fe', '1.5 %', '1.5 %', ''], ['O2', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '91.75 %', '91.75 %', ''], ['Vanadium, V', '2.5 %', '2.5 %', '']]"
Special Metals Nitinol High-Strength Superelastic Ni-Ti alloy,"{'metric_value': '6.50', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '1280', 'metric_unit': 'MPa', 'comment': 'of martensite after transition'}","{'metric_value': '1450', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Iron, Fe', '<= 0.050 %', '<= 0.050 %', ''], ['Nickel, Ni', '55.4 - 56.4 %', '55.4 - 56.4 %', ''], ['Oxygen, O', '<= 0.050 %', '<= 0.050 %', ''], ['Titanium, Ti', '43.54 - 44.6 %', '43.54 - 44.6 %', ''], [''], [], ['Lower superelastic plateau stress, ksi', '30', ''], ['Upper superelastic plateau stress, ksi', '70', '']]"
"Titanium Ti-15Mo-5Zr-3Al ST 735°C, Aged 500°C","{'metric_value': '5.01', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'Sample was ST 790ºC, Aged 510ºC'}",,"{'metric_value': '1475', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '675', 'metric_unit': 'MPa', 'comment': 'unnotched'}","{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Titanium, Ti', '77 %', '77 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', ''], [''], [], ['NTS/TS', '1.06', 'Kt= 5.3']]"
Universal Wire Works 5Al-2.5Sn (AMS 4953) Titanium Alloy Filler Metal,,,"{'metric_value': '793', 'metric_unit': 'MPa', 'comment': 'Annealed'}","{'metric_value': '827', 'metric_unit': 'MPa', 'comment': 'Annealed'}",,,,"[['Aluminum, Al', '<= 5.75 %', '<= 5.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.50 %', '<= 0.50 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.175 %', '<= 0.175 %', ''], ['Tin, Sn', '<= 3.0 %', '<= 3.0 %', ''], ['Titanium, Ti', '>= 90.43 %', '>= 90.43 %', 'As Remainder']]"
"TIMET 6-6-2 Titanium Alloy (Ti-6Al-6V-2Sn), Annealed","{'metric_value': '4.53', 'metric_unit': 'g/cc', 'comment': 'Typical'}","{'metric_value': '115', 'metric_unit': 'GPa', 'comment': 'Typical'}","{'metric_value': '1005', 'metric_unit': 'MPa', 'comment': 'Typical'}","{'metric_value': '1090', 'metric_unit': 'MPa', 'comment': 'Typical'}","{'metric_value': '490', 'metric_unit': 'MPa', 'comment': 'Limit; test specifics not reported'}",,,"[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Copper, Cu', '0.50 %', '0.50 %', ''], ['Iron, Fe', '0.50 %', '0.50 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '85 %', '85 %', 'Calculated as remainder'], ['Vanadium, V', '6.0 %', '6.0 %', '']]"
Titanium Ti-6Al-6V-2Sn (Ti-6-6-2) Annealed,"{'metric_value': '4.54', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '110.3', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '980', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1050', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '140', 'metric_unit': 'MPa', 'comment': 'notched'}","{'metric_value': '0.670', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '9.00 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Aluminum, Al', '5.0 - 6.0 %', '5.0 - 6.0 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Copper, Cu', '0.35 - 1.0 %', '0.35 - 1.0 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '0.35 - 1.0 %', '0.35 - 1.0 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Other, each', '<= 0.10 %', '<= 0.10 %', ''], ['Other, total', '<= 0.30 %', '<= 0.30 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Tin, Sn', '1.5 - 2.5 %', '1.5 - 2.5 %', ''], ['Titanium, Ti', '82.895 - 87.8 %', '82.895 - 87.8 %', 'As Balance; Elemental Composition per ASTM B265'], ['Vanadium, V', '5.0 - 6.0 %', '5.0 - 6.0 %', ''], [''], [], ['Crystal Structure', 'bcc', 'Beta'], ['', 'cph', 'Alpha']]"
Matexcel MET-0015 Titanium-based TA19 Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.5 %', '5.5 - 6.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Tin, Sn', '1.8 - 2.2 %', '1.8 - 2.2 %', ''], ['Titanium, Ti', '84.2575 - 87.3 %', '84.2575 - 87.3 %', ''], ['Zirconium, Zr', '<= 0.13 %', '<= 0.13 %', ''], ['', '3.6 - 4.4 %', '3.6 - 4.4 %', '']]"
Matexcel MET-0017 Titanium-based TC17 Powder,,,,,,,,"[['Aluminum, Al', '4.5 - 5.5 %', '4.5 - 5.5 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.0125 %', '<= 0.0125 %', ''], ['Iron, Fe', '<= 0.25 %', '<= 0.25 %', ''], ['Molybdenum, Mo', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Tin, Sn', '1.5 - 2.5 %', '1.5 - 2.5 %', ''], ['Titanium, Ti', '84.5575 - 89 %', '84.5575 - 89 %', ''], ['Zirconium, Zr', '<= 0.13 %', '<= 0.13 %', ''], ['', '1.5 - 2.5 %', '1.5 - 2.5 %', '']]"
Morgan Advanced Ceramics Ticuni™ Mac-Ticuni™-WM Braze Alloy,"{'metric_value': '5.26', 'metric_unit': 'g/cc', 'comment': ''}",,,,,,,"[['Cadmium, Cd', '<= 0.0010 %', '<= 0.0010 %', ''], ['Copper, Cu', '15 %', '15 %', 'nominal'], ['Lead, Pb', '<= 0.0020 %', '<= 0.0020 %', ''], ['Nickel, Ni', '15 %', '15 %', 'nominal'], ['Phosphorus, P', '<= 0.0020 %', '<= 0.0020 %', ''], ['Titanium, Ti', '70 %', '70 %', 'nominal'], ['Zinc, Zn', '<= 0.0010 %', '<= 0.0010 %', '']]"
Titanium Ti-6Al-2Sn-4Zr-6Mo (Ti-6-2-4-6) BSTA,"{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1050', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1200', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.040 %', '<= 0.040 %', ''], ['Iron, Fe', '<= 0.15 %', '<= 0.15 %', ''], ['Molybdenum, Mo', '6.0 %', '6.0 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '82 %', '82 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
Matexcel MET-0019 Titanium-based Ti-CP Powder,,,,,,,,"[['Carbon, C', '<= 0.030 %', '<= 0.030 %', ''], ['Hydrogen, H', '<= 0.0080 %', '<= 0.0080 %', ''], ['Iron, Fe', '<= 0.10 %', '<= 0.10 %', ''], ['Nitrogen, N', '<= 0.012 %', '<= 0.012 %', ''], ['Other, each', '0.050 %', '0.050 %', ''], ['Other, total', '0.20 %', '0.20 %', ''], ['Oxygen, O', '<= 0.10 %', '<= 0.10 %', ''], ['Titanium, Ti', '>= 99.55 %', '>= 99.55 %', '']]"
Deutsche Titan Tikrutan RT 15 Commercially Pure Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '250', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '39', 'metric_unit': '0', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '>= 99.497 %', '>= 99.497 %', '']]"
Goodfellow Titanium 92/Silicon 8 Alloy,,,,,,,,"[['Silicon, Si', '8.0 %', '8.0 %', ''], ['Titanium, Ti', '92 %', '92 %', '']]"
Deutsche Titan Tikrutan RT 12 Commercially Pure Titanium,"{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '105', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '180', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '29', 'metric_unit': '0', 'comment': ''}",,"{'metric_value': '0.520', 'metric_unit': 'J/g-°C@Temperature 20.0 °C', 'comment': ''}","[{'value': '8.70 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '200 °C'}]","[['Carbon, C', '<= 0.060 %', '<= 0.060 %', ''], ['Hydrogen, H', '<= 0.013 %', '<= 0.013 %', ''], ['Iron, Fe', '<= 0.15 %', '<= 0.15 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Titanium, Ti', '>= 99.607 %', '>= 99.607 %', '']]"
Goodfellow Titanium 90/Vanadium 10 Alloy,,,,,,,,"[['Titanium, Ti', '90 %', '90 %', ''], ['Vanadium, V', '10 %', '10 %', '']]"
Titanium Ti-6Al-2Sn-4Zr-6Mo (Ti-6-2-4-6) STOA,"{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1040', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1120', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '260', 'metric_unit': 'MPa', 'comment': 'notched'}","{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.040 %', '<= 0.040 %', ''], ['Iron, Fe', '<= 0.15 %', '<= 0.15 %', ''], ['Molybdenum, Mo', '6.0 %', '6.0 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '82 %', '82 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
Matexcel MET-0018 Titanium-based Ti6Al4V Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '88.1 - 91 %', '88.1 - 91 %', ''], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', '']]"
Matexcel MET-0018 Titanium-based Ti6Al4V Powder,,,,,,,,"[['Aluminum, Al', '5.5 - 6.75 %', '5.5 - 6.75 %', ''], ['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.050 %', '<= 0.050 %', ''], ['Oxygen, O', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '88.1 - 91 %', '88.1 - 91 %', ''], ['Vanadium, V', '3.5 - 4.5 %', '3.5 - 4.5 %', ''], ['Yttrium, Y', '<= 0.0050 %', '<= 0.0050 %', '']]"
"Titanium, Ti","{'metric_value': '4.50', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '116', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '140', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '220', 'metric_unit': 'MPa', 'comment': ''}",,"{'metric_value': '0.528', 'metric_unit': 'J/g-°C', 'comment': ''}","[{'value': '8.90 µm/m-°C', 'start_temp': '20.0 °C', 'end_temp': '100 °C'}]","[['Titanium, Ti', '100 %', '100 %', ''], [''], [], ['CAS Number', '7440-32-6', '']]"
Titanium Ti-6Al-2Sn-4Zr-6Mo (Ti-6-2-4-6) Annealed,"{'metric_value': '4.65', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '114', 'metric_unit': 'GPa', 'comment': ''}","{'metric_value': '1020', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '1110', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '290', 'metric_unit': 'MPa', 'comment': 'notched'}","{'metric_value': '0.500', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '6.0 %', '6.0 %', ''], ['Carbon, C', '<= 0.040 %', '<= 0.040 %', ''], ['Iron, Fe', '<= 0.15 %', '<= 0.15 %', ''], ['Molybdenum, Mo', '6.0 %', '6.0 %', ''], ['Nitrogen, N', '<= 0.040 %', '<= 0.040 %', ''], ['Oxygen, O', '<= 0.12 %', '<= 0.12 %', ''], ['Tin, Sn', '2.0 %', '2.0 %', ''], ['Titanium, Ti', '82 %', '82 %', ''], ['Zirconium, Zr', '4.0 %', '4.0 %', '']]"
Matexcel MET-0014 Titanium-based TA1 Powder,,,,,,,,"[['Carbon, C', '<= 0.080 %', '<= 0.080 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.20 %', '<= 0.20 %', ''], ['Titanium, Ti', '>= 99.705 %', '>= 99.705 %', '']]"
Universal Wire Works 6Al-4V (AMS 4954) Titanium Alloy Filler Metal,,,"{'metric_value': '827', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '896', 'metric_unit': 'MPa', 'comment': ''}",,,,"[['Aluminum, Al', '<= 6.75 %', '<= 6.75 %', ''], ['Carbon, C', '<= 0.050 %', '<= 0.050 %', ''], ['Hydrogen, H', '<= 0.015 %', '<= 0.015 %', ''], ['Iron, Fe', '<= 0.30 %', '<= 0.30 %', ''], ['Nitrogen, N', '<= 0.030 %', '<= 0.030 %', ''], ['Other', '<= 0.40 %', '<= 0.40 %', ''], ['Oxygen, O', '<= 0.18 %', '<= 0.18 %', ''], ['Titanium, Ti', '>= 87.775 %', '>= 87.775 %', 'As Remainder'], ['Vanadium, V', '<= 4.5 %', '<= 4.5 %', '']]"
TIMET 100A CP Titanium,"{'metric_value': '4.51', 'metric_unit': 'g/cc', 'comment': 'Typical'}","{'metric_value': '10', 'metric_unit': '5', 'comment': 'Typical'}","{'metric_value': '570', 'metric_unit': 'MPa', 'comment': 'Typical'}","{'metric_value': '725', 'metric_unit': 'MPa', 'comment': 'Typical'}","{'metric_value': '360', 'metric_unit': 'MPa', 'comment': 'Limit; test specifics not reported'}",,,"[['Titanium, Ti', '100 %', '100 %', 'Impurity level not reported']]"
"Titanium Ti-15Mo-5Zr-3Al ST 850°C (1560°F), Aged 500°C","{'metric_value': '5.01', 'metric_unit': 'g/cc', 'comment': ''}","{'metric_value': '100', 'metric_unit': 'GPa', 'comment': 'Sample was ST 790ºC, Aged 510ºC'}",,"{'metric_value': '1440', 'metric_unit': 'MPa', 'comment': ''}","{'metric_value': '675', 'metric_unit': 'MPa', 'comment': 'unnotched'}","{'metric_value': '0.540', 'metric_unit': 'J/g-°C', 'comment': ''}",,"[['Aluminum, Al', '3.0 %', '3.0 %', ''], ['Molybdenum, Mo', '15 %', '15 %', ''], ['Titanium, Ti', '77 %', '77 %', ''], ['Zirconium, Zr', '5.0 %', '5.0 %', '']]"
"ATI Wah Chang 425™ Titanium Alloy, Hot Rolled & Annealed Plate, Solution Treated Annealed","{'metric_value': '4.48', 'metric_unit': 'g/cc', 'comment': ''}",,"{'metric_value': '1020', 'metric_unit': 'MPa', 'comment': 'Long.'}","{'metric_value': '1140', 'metric_unit': 'MPa', 'comment': 'Long.'}",,,,"[['Aluminum, Al', '4.0 %', '4.0 %', ''], ['Iron, Fe', '1.5 %', '1.5 %', ''], ['O2', '0.25 %', '0.25 %', ''], ['Titanium, Ti', '91.75 %', '91.75 %', ''], ['Vanadium, V', '2.5 %', '2.5 %', '']]"
